Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",0,4.53,Crown,Hardcover,426,2018,2018,,2020/09/17,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",5,4.06,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,2020/09/09,2020/04/05,,,read,"One of the best books I’ve ever read! Susan Cain discussed intro/extroversion from a cultural perspective, the difference between the extrovert ideal in Western culture and the introvert ideal in Eastern one. Being an introvert myself, this book reasonates so much with me. It shows me my strengths and how I can live in an extroverted world, how to communicate with other extroverts and how to raise an introvert child. It helped me seeing the bigger picture, of how I am not a special snowflake, and that extro/introversion are only part of a human trait that help us survive until now as a race. ",,,1,,,0,,,,,
23398763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""0143127551""","=""9780143127550""",5,3.86,Penguin Books,Paperback,292,2015,2014,2020/08/18,2020/08/06,,,read,"Fantastic book. Celeste Ng always had an unique way with describing her characters’ thoughts. The theme family, racial difference, and mental health are a constant in her novels. ",,,1,,,0,,,,,
86154,The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else,Hernando de Soto,"Soto, Hernando de",,"=""0465016154""","=""9780465016150""",4,4.00,Basic Books,Paperback,288,2003,2000,2018/05/22,2018/06/06,,,read,,,,1,,,0,,,,,
28800977,Lời Nói Dối Vĩ Đại Của Não,Kelly McGonigal,"McGonigal, Kelly",Khánh Thủy,"=""""","=""9786045929889""",4,4.15,Thái Hà Books & NXB Lao Động,Paperback,228,2015,2011,2018/01/14,2018/06/06,,,read,,,,1,,,0,,,,,
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",5,4.26,Beacon Press,Paperback,287,2004,1979,2019/02/17,2019/02/17,,,read,,,,1,,,0,,,,,
28818221,Kindred: A Graphic Novel Adaptation,Damian Duffy,"Duffy, Damian","Octavia E. Butler, John Jennings, Nnedi Okorafor","=""141970947X""","=""9781419709470""",4,4.19,Harry N. Abrams,Hardcover,240,2017,2017,2019/03/29,2019/04/02,,,read,Quite artistic adaptation of Butler's masterpiece. Interesting art style.,,,1,,,0,,,,,
36045222,Nhân Tố Enzyme: Minh Họa,Hiromi Shinya,"Shinya, Hiromi",Như Nữ,"=""""","=""9786047735303""",4,4.16,Nxb. Thế Giới & Thái Hà Books,Paperback,79,2017,,2019/04/11,2019/04/11,,,read,"Minh hoạ tóm tắt lại 3 cuốn trước. Gọi là tóm tắt cũng không đúng, chỉ là minh hoạ thêm những gì đã được viết trong 3 cuốn trước. Nếu bạn có khái niệm cơ bản về y học thì đọc cuốn này cũng có thể nắm rõ được phương pháp ăn của Shinya. Nếu không nên đọc 3 cuốn trước rồi đọc lại cuốn này để nắm chắc nhất",,,1,,,0,,,,,
45420940,"Gửi bạn, người đã trưởng thành mà chưa tìm thấy tài năng",Shinzi Kamioka,"Kamioka, Shinzi",Nguyễn Quốc Vượng,"=""""","=""""",3,3.57,Nhà Xuất Bản Phụ Nữ ,Bìa mềm,245,2019,2017,2019/12/29,2019/12/29,,,read,,,,1,,,0,,,,,
49506165,Những điều giữ tôi còn sống,Matt Haig,"Haig, Matt",N.D.T. Anh,"=""""","=""""",5,4.16,,Paperback,224,2019,2015,2020/01/08,2020/01/08,,,read,Một quyển sách hay về trầm cảm và cách nhìn nhận cuộc sống. Mình rất thích cách tác giả miêu tả căn bệnh trầm cảm và cách tác giả nói về chánh niệm,,,1,,,0,,,,,
40198460,Ăn Ít Để Khỏe – 1 Bữa Là Đủ Sao Cần Phải 3,Yoshinori Nagumo,"Nagumo, Yoshinori",Minh Yến,"=""""","=""""",3,3.66,"NXB Lao Động, Thái Hà",Paperback,200,2018,2012,2020/02/04,2020/02/04,,,read,,,,1,,,0,,,,,
6486483,Emotional Intelligence 2.0,Travis Bradberry,"Bradberry, Travis","Jean Greaves, Patrick Lencioni","=""0974320625""","=""9780974320625""",4,3.84,Talentsmart,Hardcover,255,2009,2003,2020/07/08,2020/06/18,,,read,,,,1,,,0,,,,,
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",,"=""0066620996""","=""9780066620992""",0,4.11,Harper Business,Hardcover,300,2001,2001,,2020/06/15,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
13596297,Phi Lý Trí: Khám Phá Những Động Lực Vô Hình Ẩn Sau Những Quyết Định Của Con Người,Dan Ariely,"Ariely, Dan",Hồng Lê,"=""""","=""""",4,4.13,Lao động Xã Hội & Alphabooks,,268,2009,2008,2020/06/14,2020/04/21,,,read,,,,1,,,0,,,,,
97642,No More Mr. Nice Guy,Robert A. Glover,"Glover, Robert A.",,"=""0762415339""","=""9780762415335""",4,4.06,Running Press Adult,Hardcover,208,2003,2000,2020/06/11,2020/05/21,,,read,"When I picked up this book I expected it to teach you on ways to be the alpha male or something along those lines. After reading the first chapter, I was hooked. <br/>I realized I have a few traits that resemble a Nice Guy, which is someone who doesn't know how to set boundaries and always tries to hide his mistakes. This book encourages people to be themselves, be comfortable with their flaws and mistakes, learn how to set boundaries, and put their needs first.<br/>Some of his ideas are being repeated many times in the book but good self-help book nonetheless.",,,1,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",5,4.46,Random House,Hardcover,334,2018,2018,2020/05/19,2020/05/03,,,read,"So far the best book I've read in 2020. Tara Westover has a unique way with words; her stories and anecdotes are incredibly fascinating. This memoir, in my understanding, shows how curiosity can bring someone to their success, and that family has a huge effect on a person's behaviors, biases, and beliefs. ",,,1,,,0,,,,,
38447,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",4,4.11,Anchor Books,Paperback,314,1998,1985,2020/04/05,2020/03/23,,,read,"A captivating fiction. The dystopia the author describes through the narrative of Offred is rich and quite disturbing. The more I read, the more curious I am about this world. I would say I did not really understand the circumstances or the background of this dystopia until the last part of the book. The last part of the book explained many things about the dystopia, the society, the narrator's fate, which I think was really creative of the author to make it a historian's presentation in the far future.",,,1,,,0,,,,,
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""1577314808""","=""9781577314806""",0,4.13,New World Library,Paperback,229,2004,1997,,2020/04/05,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
3450744,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.",Cass R. Sunstein,"=""014311526X""","=""9780143115267""",0,3.84,Penguin Books,Paperback,314,2009,2008,,2020/04/05,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
26530355,Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,"Thaler, Richard H.",,"=""039335279X""","=""9780393352795""",0,4.19,W. W. Norton  Company,Paperback,432,2016,2016,,2020/04/05,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
52539809,Mắt Biếc,Nguyễn Nhật Ánh,"Ánh, Nguyễn Nhật",,"=""""","=""9786041140783""",5,4.04,NXB Trẻ,Paperback,298,2019,1990,2020/01/02,2020/01/02,,,read,"Câu chuyện đẹp, nhưng kết không được vui cho Ngạn. Một tác phẩm hay nữa từ Nguyễn Nhật Ánh. Mặc dù mình xem phim trước, nhưng đúng là đọc truyện vẫn luôn hay hơn.",,,1,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.45,Doubleday Canada,Hardcover,289,2016,2016,2020/03/19,2020/03/14,,,read,"I really like this book. Trevor Noah is a natural writer; his autobiography has everything: tragedy, humor, emotions, life lessons. Noah's stories prove two things: that he loves his mother deeply, and he has high self-awareness about his circumstances and his potentials.<br/>I really like the part where he wrote about the hood, in ""The Cheese Boys"". He talks about how the external environment can affect a person significantly, to which I can relate. And lots of parts of the book are quite relatable, and yet enlightening in a way, due to the way he phrases it, despite the fact that there is nothing similar in the circumstances and background I have. <br/>For example, ""you never feel like a failure in the hood, because someone's always worse off than you, and you don't feel like you need to do more, because the biggest success isn't that much higher than you, either."" This is relatable in the sense that we definitely know some environment that did not encourage us to be a better person. I believe environment is not everything, but it contributes a large part to a person's improvement process. So that part was relatable, but not the hood life lol. <br/>A great book by Noah. ",,,1,,,0,,,,,
34273236,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0735224293""","=""9780735224292""",5,4.09,Penguin Press,Hardcover,338,2017,2017,2020/03/13,2020/03/09,,,read,"Such a wonderful read. Celeste Ng is amazing in her ability to portrait characters’ personalities through dialogues and monologues. I cannot stop picking up the book, and I finished like half of it during few hours on my flight. The story is intriguing, characters are interesting and complex, and the way the author describes everything really impressed me. I can see each character personality clearly as if I know them personally, and that’s not a thing I see a lot in fictions that I read. Each character has their own problems and their own truth of solving that problem, which creates a little fire. And I really like how these little fires combining to a big fire that burns out the Richardson’s way of living. I love Izzy. ",,,1,,,0,,,,,
1922929,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""081297381X""","=""9780812973815""",4,3.94,Random House Trade Paperbacks,Paperback,444,2010,2007,2020/03/01,2018/06/20,,,read,"To be honest, a long book that talks about one point: you can’t predict everything and our prediction tools currently are obsolete. Taleb laid down some great points about uncertainties, like how we always underestimate the unknown and overestimate what we know, and that you should be prepared for Black Swan rather than trying to guess what’s gonna happen. I think that all prediction tools and models are plain wrong, but some are useful. The author has a great point but the way he presents his idea and personal emotion to that idea is a bit extreme. Should be an article but interesting read nonetheless.",,,1,,,0,,,,,
13612914,Óc sáng suốt,Nguyễn Duy Cần,"Cần, Nguyễn Duy",,"=""""","=""""",0,4.21,NXB Trẻ,Paperback,180,2011,1952,,2020/01/16,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
25802987,Chuỗi Án Mạng A.B.C,Agatha Christie,"Christie, Agatha",Võ Thị Hương Lan,"=""""","=""""",4,4.02,Nxb. Trẻ,Paperback,300,2015,1936,2020/01/10,2020/01/10,,,read,,,,1,,,0,,,,,
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",John Rothchild,"=""0743200403""","=""9780743200400""",4,4.23,Simon  Schuster,Paperback,304,2000,1988,2019/11/26,2019/10/20,,,read,,,,1,,,0,,,,,
21558662,Nhà Giả Kim,Paulo Coelho,"Coelho, Paulo",Lê Chu Cầu,"=""""","=""""",4,3.88,Nxb. Văn Học,Paperback,228,2013,1988,2019/08/13,2019/08/13,,,read,,,,1,,,0,,,,,
36000433,"The INFJ Personality Guide: Understand yourself, reach your potential, and live a life of purpose.",Bo Miller,"Miller, Bo",,"=""""","=""""",5,4.23,,Kindle Edition,102,2017,,2019/10/20,2019/10/19,,,read,Great book for INFJ in general. I’m not sure if INFJs are rarest but I’m sure I have the traits mentioned in this book. It gave me great insights about my personality and great instructions about how to use my gifts for others. ,,,1,,,0,,,,,
22015713,Thi vương Tương Tây,Tianxia Bachang,"Bachang, Tianxia",Nguyễn Thanh Tân,"=""""","=""""",4,3.69,Nhã Nam & NXB Văn học,Bìa mềm,532,,,2019/10/16,2019/09/16,,,read,,,,1,,,0,,,,,
35517485,Gieo Trồng Hạnh Phúc,Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""""","=""""",5,4.33,NXB Lao Động Xã Hội ,Paperback,350,2014,,2019/09/06,2019/08/23,,,read,"Một quyển sách rất hay về việc thiền định, tập luyện chánh niệm. Thầy hướng dẫn cụ thể từng việc, đưa ra các trường hợp trong cuộc sống để khiến cho thân nhập vào tâm. Khuyên tất cả mọi người nên đọc",,,1,,,0,,,,,
35561949,Hẹn với thần chết,Agatha Christie,"Christie, Agatha",Trần Hữu Kham,"=""""","=""9786041076648""",4,3.88,NXB Trẻ,Paperback,,2015,1937,2019/08/15,2019/08/15,,,read,,,,1,,,0,,,,,
39803056,Nếu Biết Trăm Năm Là Hữu Hạn,Phạm Lữ Ân,"Ân, Phạm Lữ",,"=""""","=""9786045329610""",5,4.15,NXB Hội Nhà Văn,Paperback,187,2018,2011,2019/07/10,2019/07/10,,,read,"Một quyển sách rất hay, khiến cho người đọc, nhất là những người trẻ trong độ 20 - 30 tuổi, phải suy ngẫm sâu hơn về những việc xảy ra trong cuộc đời mình. Hai anh chị tác giả đã cho mình thấy những khía cạnh, những góc nhìn mới mà mình nghĩ rất hợp lí và tích cực. Nếu biết trăm năm là hữu hạn, bạn sẽ sống như thế nào?",,,1,,,0,,,,,
13857191,"Nam Hải Quy Khư (Ma Thổi Đèn II, #2)",Tianxia Bachang,"Bachang, Tianxia",Lục Hương,"=""""","=""""",4,3.88,Văn Học,Paperback,660,2012,2012,2019/05/24,2019/04/12,,,read,,,,2,,,0,,,,,
36045198,Nhân Tố Enzyme: Trẻ Hóa,Hiromi Shinya,"Shinya, Hiromi",Như Nữ,"=""""","=""9786047735297""",4,4.05,Nxb. Thế Giới & Thái Hà Books,Paperback,175,2017,,2019/04/11,2019/04/03,,,read,"Shinya trong cuốn sách này hầu hết đề cập lại những điều có trong 2 cuốn trước. Ông có nói thêm rằng tinh thần khoẻ mạnh cũng là một điều quan trọng đối với cơ thể, đặc biết với việc tạo ra enzyme. Ông nói rất nhiều điều đáng suy ngầm về mối quan hệ của thói quen sinh hoạt với sức khoẻ.",,,1,,,0,,,,,
35506630,Nhân Tố Enzyme,Hiromi Shinya,"Shinya, Hiromi",Như Nữ,"=""""","=""9786047728152""",4,4.10,Thái Hà Books & Nxb. Thế Giới,Paperback,223,2016,2005,2019/03/01,2019/02/03,,,read,"Tập đầu tiên của bộ Nhân Tố Enzyme của tác giả Shinya cho thấy ông là một nhà khoa học rất hiểu biết và nhiều kinh nghiệm. Mặc dù sách không có nhiều chứng cứ khoa học và hầu hết là giả thuyết của tác giả, những kiến thức sách đưa ra về chăm sóc bản thân, sinh hoạt ăn uống điều độ đều rất có ích và không phải ai cũng biết. Cảm nhận về tập đầu tiên của tôi khá là tốt về quyển này. Điều duy nhất tôi không thích là cách tác giả hơi đề cao phương pháp của ông quá mà không đưa ra dẫn chứng nghiên cứu gì, chỉ đều dựa trên ""quan sát"" của ông. ",,,1,,,0,,,,,
35680030,Nhân Tố Enzyme: Thực Hành,Hiromi Shinya,"Shinya, Hiromi",Như Nữ,"=""""","=""9786047734429""",5,4.11,Nxb. Thế Giới & Thái Hà Books,Paperback,300,2017,,2019/04/02,2019/03/05,,,read,"Trong cuốn sách này, tác giả đã nói kỹ hơn về phương pháp enzyme của ông. Những điều ông nói đều rát hay và logic, dễ áp dụng để có một cơ thể khoẻ mạnh. Ông cũng khuyên cũng nên biết cân bằng, vì cuộc sống cần có sự hy sinh để đạt được mục tiêu, nên chúng ta không thể nào chỉ chăm chăm làm theo cách của ông được. Cuộc sống sẽ có nhiều lúc chúng ta phải đánh đổi sức khoẻ để đạt được điều mình muốn, quan trọng là chúng ta có giữ được thói quen sống khoẻ hay không.",,,1,,,0,,,,,
136531,The Laramie Project,Moisés Kaufman,"Kaufman, Moisés",Tectonic Theater Project,"=""0375727191""","=""9780375727191""",3,4.18,Vintage,Paperback,110,2001,2001,2019/03/16,2019/03/16,,,read,,,,1,,,0,,,,,
42865890,Giá Trị Cuộc Đời,Trương Chi,"Chi, Trương",,"=""""","=""""",5,5.00,Hồng Đức,Paperback,262,2015,,2018/11/28,2018/11/19,,,read,"Một quyển sách rất ý nghĩa về các triết lí, lịch sử, thuyết học cơ bản của đạo Phật. Tác giả chỉ đơn giản kể về quãng đường từ một người vô thần đến khi trở thành một người theo đạo, ăn chay nên ngôn ngữ trong sách rất gần gũi, dễ liên tưởng. Sách hay cho những người muốn bắt đầu tìm hiểu về Phật giáo, chỉ có điểm đặc biệt là đều là những kinh nghiệm cá nhân của tác giả, chứ không có yếu tố nghiên cứu nào cả.",,,1,,,0,,,,,
13635670,"Thần Cung Côn Luân (Ma thổi đèn, #4)",Tianxia Bachang,"Bachang, Tianxia",,"=""""","=""""",4,3.73,"Văn Học, Nhã Nam",Paperback,608,2010,2008,2018/07/04,2018/06/21,,,read,,,,1,,,0,,,,,
13635674,"Mộ hoàng bì tử (Ma thổi đèn II, #1)",Tianxia Bachang,"Bachang, Tianxia",Lục Hương,"=""""","=""""",4,3.90,"Văn Học, Nhã Nam",Paperback,640,2012,2012,2019/01/20,2019/01/20,,,read,,,,1,,,0,,,,,
27040147,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""1939438330""","=""9781939438331""",5,4.27,Dauphin Publications,Paperback,118,2015,1926,2019/02/03,2018/06/20,,,read,Great book about personal finance associated with a fascinating narrative. Recommend to anyone who wants to start with personal budgeting!,,,1,,,0,,,,,
22755371,Đứa Trẻ Thứ 44,Tom Rob Smith,"Smith, Tom Rob",Võ Hồng Long,"=""""","=""9786045393772""",4,4.09,Nhã Nam & NXB Thời Đại,Paperback,362,2014,2008,2018/01/01,2018/06/06,,,read,,,,1,,,0,,,,,
30273181,"Án Mạng Trên Sông Nile (Hercule Poirot, #17)",Agatha Christie,"Christie, Agatha",Lan Phương,"=""""","=""9786041015692""",5,4.10,NXB Trẻ,Paperback,336,2015,1937,2018/10/06,2018/09/30,,,read,,,,1,,,0,,,,,
13118173,The Intelligent Investor (Collins Business Essentials),Benjamin Graham,"Graham, Benjamin",,"=""9780060555""","=""""",4,4.23,Harper Business,Paperback,623,2006,1949,2018/12/22,2018/06/20,,,read,"As an ESL speaker, the writing from Graham was quite confusing at times. However, Jason Zweig helped me a lot. This is a great read for someone who just started to enter the finance industry in general. ",,,1,,,0,,,,,
32521178,Tuổi Trẻ Đáng Giá Bao Nhiêu,Rosie Nguyễn,"Nguyễn, Rosie",,"=""""","=""9786045370193""",5,4.30,Nxb. Hội Nhà Văn & Nhã Nam,Paperback,292,2016,2017,2018/06/09,2018/06/06,,,read,,,,1,,,0,,,,,
23839097,Người Giỏi Không Bởi Học Nhiều,Alphabooks,"Alphabooks, Alphabooks",,"=""""","=""""",4,3.75,Alphabooks & NXB Lao Động - Xã Hội,Paperback,208,2012,2012,2018/06/21,2018/06/09,,,read,,,,1,,,0,,,,,
